Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
05-May-23,27905.35,27915.25,27634.85,27719.95,14934850,2072.36
08-May-23,27837.3,27947,27735.15,27920.95,14935665,1820.17
09-May-23,27961,28168.45,27910.65,28125.5,15483231,2296.88
10-May-23,28220.45,28236.85,27998.95,28091.75,14705651,2255.06
11-May-23,28298.25,28348.35,28039.2,28102,16105218,2500.04
12-May-23,28070.85,28164.45,27874.1,28028.4,15488230,2182.59
15-May-23,28083.75,28323.55,27957.5,28165.4,13667754,1859.85
16-May-23,28252.75,28421.05,28178.7,28216,12299684,1940.07
17-May-23,28197.8,28300.1,27776.8,27942.95,22443611,3100.45
18-May-23,28125.45,28137.7,27858.75,27892.55,13849088,2027.36
19-May-23,28063.35,28369.4,28007.05,28303.65,22932396,3327.43
22-May-23,28357.6,29062.05,28294.25,29007.3,22154768,3068.37
23-May-23,29076.5,29319.9,28830,28873.7,20770635,2868.07
24-May-23,28721.15,28959.35,28655,28890.8,14780823,2172.32
25-May-23,28854.95,28970.95,28686.2,28928.75,16177681,2082.14
26-May-23,28975.95,29384.85,28975.95,29355.9,17548870,2926.93
29-May-23,29629.75,29659.6,29200.25,29240.2,13613973,1952.7
30-May-23,29253.5,29405.2,29172.7,29297.65,17293994,2437.15
31-May-23,29248.05,29495.05,29212.5,29319.75,46017391,7087.21
01-Jun-23,29455.35,29599.1,29382.05,29446.25,13567608,2034.41
02-Jun-23,29485.85,29550.15,29272.55,29328.15,21167089,3279.19
05-Jun-23,29459.15,29533.4,29217.35,29238.75,14803305,2144.07
06-Jun-23,29003.5,29013.9,28485.85,28689.05,27342670,4049.34
07-Jun-23,28886.7,28937.95,28754.85,28913.7,16856099,2322.76
08-Jun-23,28892.65,28918.05,28568.6,28591.1,18994862,2540.15
09-Jun-23,28645.7,28674.45,28322.15,28355.35,19079094,2508.81
12-Jun-23,28457.45,28844.3,28402.55,28784,18162055,2646.75
13-Jun-23,28935.9,28974.15,28866.2,28899.3,17906413,2321.49
14-Jun-23,28896.25,28928.65,28666.9,28855.05,18287941,2346.91
15-Jun-23,28824.6,28833.25,28645.8,28699,27881632,3147.01
16-Jun-23,28671.1,28759.4,28441.05,28588.8,42621755,4806.04
19-Jun-23,28641.45,28750.7,28568.55,28708.3,16252353,2302.92
20-Jun-23,28728.5,28966.95,28640.3,28930.8,20007621,2652.29
21-Jun-23,29022.7,29084.45,28869.8,29025.7,15564246,2288.52
22-Jun-23,28969.15,28977.9,28750.4,28811.15,17641414,2426.83
23-Jun-23,28747.6,28752.5,28482.15,28554.25,18316417,2566.47
26-Jun-23,28539.8,28631.75,28451.15,28590.1,12114033,2092.82
27-Jun-23,28681.95,28821.85,28630.45,28800.15,11737434,1925.14
28-Jun-23,28945,28997.35,28778.15,28842.95,15968318,2505.41
30-Jun-23,29013.15,29594.2,28957.15,29563,27993009,4303.21
